state,year,population
AK,2003,648280.0
AK,2004,657755.0
AK,2005,669411.0
AK,2006,676248.0
AK,2007,681255.0
AK,2008,688422.0
AK,2009,676473.0
AK,2010,684484.0
AK,2011,693914.0
AK,2012,704218.0
AK,2013,702641.0
AK,2014,709670.0
AK,2015,725461.0
AL,2003,4503726.0
AL,2004,4525375.0
AL,2005,4539611.0
AL,2006,4628981.0
AL,2007,4672840.0
AL,2008,4718206.0
AL,2009,4633360.0
AL,2010,4712651.0
AL,2011,4747424.0
AL,2012,4777326.0
AL,2013,4795087.0
AL,2014,4812848.0
AL,2015,4830620.0
AR,2003,2727774.0
AR,2004,2750000.0
AR,2005,2772152.0
AR,2006,2812324.0
AR,2007,2839172.0
AR,2008,2864981.0
AR,2009,2829079.0
AR,2010,2863194.0
AR,2011,2886436.0
AR,2012,2906919.0
AR,2013,2920952.0
AR,2014,2934985.0
AR,2015,2949011.0
AZ,2003,5579222.0
AZ,2004,5739879.0
AZ,2005,5952083.0
AZ,2006,6029141.0
AZ,2007,6167681.0
AZ,2008,6280362.0
AZ,2009,6324865.0
AZ,2010,6246816.0
AZ,2011,6337373.0
AZ,2012,6410979.0
AZ,2013,6487963.0
AZ,2014,6564947.0
AZ,2015,6641928.0
CA,2003,35462712.0
CA,2004,35842038.0
CA,2005,35990312.0
CA,2006,36021202.0
CA,2007,36250311.0
CA,2008,36604337.0
CA,2009,36308527.0
CA,2010,36637290.0
CA,2011,36969200.0
CA,2012,37325068.0
CA,2013,37690535.0
CA,2014,38056002.0
CA,2015,38421464.0
CO,2003,4547633.0
CO,2004,4601821.0
CO,2005,4673724.0
CO,2006,4720423.0
CO,2007,4803868.0
CO,2008,4889730.0
CO,2009,4843211.0
CO,2010,4887061.0
CO,2011,4966061.0
CO,2012,5042853.0
CO,2013,5121540.0
CO,2014,5200227.0
CO,2015,5278906.0
CT,2003,3486960.0
CT,2004,3498966.0
CT,2005,3486490.0
CT,2006,3517460.0
CT,2007,3527270.0
CT,2008,3545579.0
CT,2009,3494487.0
CT,2010,3545837.0
CT,2011,3558172.0
CT,2012,3572213.0
CT,2013,3579216.0
CT,2014,3586219.0
CT,2015,3593222.0
DC,2003,557620.0
DC,2004,554239.0
DC,2005,582049.0
DC,2006,570681.0
DC,2007,574404.0
DC,2008,580236.0
DC,2009,588433.0
DC,2010,584400.0
DC,2011,593955.0
DC,2012,605759.0
DC,2013,619667.0
DC,2014,633575.0
DC,2015,647484.0
DE,2003,818166.0
DE,2004,830069.0
DE,2005,840558.0
DE,2006,859268.0
DE,2007,871749.0
DE,2008,883874.0
DE,2009,863832.0
DE,2010,881278.0
DE,2011,890856.0
DE,2012,900131.0
DE,2013,908905.0
DE,2014,917679.0
DE,2015,926454.0
FL,2003,16999181.0
FL,2004,17385430.0
FL,2005,17736027.0
FL,2006,18166990.0
FL,2007,18367842.0
FL,2008,18527305.0
FL,2009,18222420.0
FL,2010,18511620.0
FL,2011,18688787.0
FL,2012,18885152.0
FL,2013,19138690.0
FL,2014,19392228.0
FL,2015,19645772.0
GA,2003,8676460.0
GA,2004,8918129.0
GA,2005,9107719.0
GA,2006,9155813.0
GA,2007,9349988.0
GA,2008,9504843.0
GA,2009,9497667.0
GA,2010,9468815.0
GA,2011,9600612.0
GA,2012,9714569.0
GA,2013,9811946.0
GA,2014,9909323.0
GA,2015,10006693.0
HI,2003,1248755.0
HI,2004,1262124.0
HI,2005,1267581.0
HI,2006,1309622.0
HI,2007,1315570.0
HI,2008,1332114.0
HI,2009,1280163.0
HI,2010,1333517.0
HI,2011,1346497.0
HI,2012,1362664.0
HI,2013,1377180.0
HI,2014,1391696.0
HI,2015,1406214.0
IA,2003,2941976.0
IA,2004,2952904.0
IA,2005,2955587.0
IA,2006,2982644.0
IA,2007,2999212.0
IA,2008,3016734.0
IA,2009,2978880.0
IA,2010,3016267.0
IA,2011,3032266.0
IA,2012,3047646.0
IA,2013,3062940.0
IA,2014,3078234.0
IA,2015,3093526.0
ID,2003,1367034.0
ID,2004,1395140.0
ID,2005,1425894.0
ID,2006,1468669.0
ID,2007,1505105.0
ID,2008,1534320.0
ID,2009,1492573.0
ID,2010,1526797.0
ID,2011,1549987.0
ID,2012,1567803.0
ID,2013,1584053.0
ID,2014,1600303.0
ID,2015,1616547.0
IL,2003,12649087.0
IL,2004,12712016.0
IL,2005,12719550.0
IL,2006,12643955.0
IL,2007,12695866.0
IL,2008,12747038.0
IL,2009,12785043.0
IL,2010,12745359.0
IL,2011,12790182.0
IL,2012,12823860.0
IL,2013,12840496.0
IL,2014,12857132.0
IL,2015,12873761.0
IN,2003,6199571.0
IN,2004,6226537.0
IN,2005,6257121.0
IN,2006,6332669.0
IN,2007,6379599.0
IN,2008,6424806.0
IN,2009,6342469.0
IN,2010,6417398.0
IN,2011,6454254.0
IN,2012,6485530.0
IN,2013,6513237.0
IN,2014,6540944.0
IN,2015,6568645.0
KS,2003,2724786.0
KS,2004,2733697.0
KS,2005,2741665.0
KS,2006,2762931.0
KS,2007,2783785.0
KS,2008,2808076.0
KS,2009,2777835.0
KS,2010,2809329.0
KS,2011,2830985.0
KS,2012,2851183.0
KS,2013,2865120.0
KS,2014,2879057.0
KS,2015,2892987.0
KY,2003,4118189.0
KY,2004,4141835.0
KY,2005,4171016.0
KY,2006,4219239.0
KY,2007,4256672.0
KY,2008,4289878.0
KY,2009,4252000.0
KY,2010,4285828.0
KY,2011,4316040.0
KY,2012,4340167.0
KY,2013,4359232.0
KY,2014,4378297.0
KY,2015,4397353.0
LA,2003,4493665.0
LA,2004,4506685.0
LA,2005,4495670.0
LA,2006,4302665.0
LA,2007,4375581.0
LA,2008,4435586.0
LA,2009,4411546.0
LA,2010,4429940.0
LA,2011,4484596.0
LA,2012,4529605.0
LA,2013,4561484.0
LA,2014,4593363.0
LA,2015,4625253.0
MA,2003,6420357.0
MA,2004,6407382.0
MA,2005,6429137.0
MA,2006,6410084.0
MA,2007,6431559.0
MA,2008,6468967.0
MA,2009,6511176.0
MA,2010,6477096.0
MA,2011,6512227.0
MA,2012,6560595.0
MA,2013,6608925.0
MA,2014,6657255.0
MA,2015,6705586.0
MD,2003,5512310.0
MD,2004,5561332.0
MD,2005,5573163.0
MD,2006,5627367.0
MD,2007,5653408.0
MD,2008,5684965.0
MD,2009,5637418.0
MD,2010,5696423.0
MD,2011,5736545.0
MD,2012,5785496.0
MD,2013,5833842.0
MD,2014,5882188.0
MD,2015,5930538.0
ME,2003,1309205.0
ME,2004,1314985.0
ME,2005,1312222.0
ME,2006,1323619.0
ME,2007,1327040.0
ME,2008,1330509.0
ME,2009,1316380.0
ME,2010,1327665.0
ME,2011,1328543.0
ME,2012,1329084.0
ME,2013,1329088.0
ME,2014,1329092.0
ME,2015,1329100.0
MI,2003,10082364.0
MI,2004,10104206.0
MI,2005,10107940.0
MI,2006,10036081.0
MI,2007,10001284.0
MI,2008,9946889.0
MI,2009,10039208.0
MI,2010,9952687.0
MI,2011,9920621.0
MI,2012,9897264.0
MI,2013,9898370.0
MI,2014,9899476.0
MI,2015,9900571.0
MN,2003,5064172.0
MN,2004,5096546.0
MN,2005,5113824.0
MN,2006,5163555.0
MN,2007,5207203.0
MN,2008,5247018.0
MN,2009,5188581.0
MN,2010,5241914.0
MN,2011,5278190.0
MN,2012,5313081.0
MN,2013,5348446.0
MN,2014,5383811.0
MN,2015,5419171.0
MO,2003,5719204.0
MO,2004,5759532.0
MO,2005,5787885.0
MO,2006,5842704.0
MO,2007,5887612.0
MO,2008,5923916.0
MO,2009,5904382.0
MO,2010,5922314.0
MO,2011,5955802.0
MO,2012,5982413.0
MO,2013,6003420.0
MO,2014,6024427.0
MO,2015,6045448.0
MS,2003,2882594.0
MS,2004,2900768.0
MS,2005,2900456.0
MS,2006,2904978.0
MS,2007,2928350.0
MS,2008,2947806.0
MS,2009,2922240.0
MS,2010,2941991.0
MS,2011,2956700.0
MS,2012,2967620.0
MS,2013,2974441.0
MS,2014,2981262.0
MS,2015,2988081.0
MT,2003,918157.0
MT,2004,926920.0
MT,2005,935784.0
MT,2006,952692.0
MT,2007,964706.0
MT,2008,976415.0
MT,2009,956257.0
MT,2010,973739.0
MT,2011,982854.0
MT,2012,990785.0
MT,2013,998755.0
MT,2014,1006725.0
MT,2015,1014699.0
NC,2003,8421190.0
NC,2004,8540468.0
NC,2005,8679089.0
NC,2006,8917270.0
NC,2007,9118037.0
NC,2008,9309449.0
NC,2009,9045705.0
NC,2010,9271178.0
NC,2011,9418736.0
NC,2012,9544249.0
NC,2013,9644608.0
NC,2014,9744967.0
NC,2015,9845333.0
ND,2003,633400.0
ND,2004,636308.0
ND,2005,635938.0
ND,2006,649422.0
ND,2007,652822.0
ND,2008,657569.0
ND,2009,639725.0
ND,2010,659858.0
ND,2011,666783.0
ND,2012,676253.0
ND,2013,691382.0
ND,2014,706511.0
ND,2015,721640.0
NE,2003,1737475.0
NE,2004,1747704.0
NE,2005,1754042.0
NE,2006,1772693.0
NE,2007,1783440.0
NE,2008,1796378.0
NE,2009,1772124.0
NE,2010,1799125.0
NE,2011,1813061.0
NE,2012,1827306.0
NE,2013,1841330.0
NE,2014,1855354.0
NE,2015,1869365.0
NH,2003,1288705.0
NH,2004,1299169.0
NH,2005,1303112.0
NH,2006,1308389.0
NH,2007,1312540.0
NH,2008,1315906.0
NH,2009,1315419.0
NH,2010,1313939.0
NH,2011,1315911.0
NH,2012,1317474.0
NH,2013,1319716.0
NH,2014,1321958.0
NH,2015,1324201.0
NJ,2003,8642412.0
NJ,2004,8685166.0
NJ,2005,8657445.0
NJ,2006,8661679.0
NJ,2007,8677885.0
NJ,2008,8711090.0
NJ,2009,8650548.0
NJ,2010,8721577.0
NJ,2011,8753064.0
NJ,2012,8793888.0
NJ,2013,8830729.0
NJ,2014,8867570.0
NJ,2015,8904413.0
NM,2003,1878562.0
NM,2004,1903006.0
NM,2005,1916331.0
NM,2006,1962137.0
NM,2007,1990070.0
NM,2008,2010662.0
NM,2009,1964860.0
NM,2010,2013122.0
NM,2011,2037136.0
NM,2012,2055287.0
NM,2013,2064897.0
NM,2014,2074507.0
NM,2015,2084117.0
NV,2003,2242207.0
NV,2004,2332898.0
NV,2005,2408948.0
NV,2006,2522658.0
NV,2007,2601072.0
NV,2008,2653630.0
NV,2009,2545763.0
NV,2010,2633331.0
NV,2011,2673396.0
NV,2012,2704204.0
NV,2013,2735680.0
NV,2014,2767156.0
NV,2015,2798636.0
NY,2003,19212425.0
NY,2004,19280727.0
NY,2005,19262545.0
NY,2006,19104631.0
NY,2007,19132335.0
NY,2008,19212436.0
NY,2009,19423896.0
NY,2010,19229752.0
NY,2011,19302448.0
NY,2012,19398125.0
NY,2013,19489808.0
NY,2014,19581491.0
NY,2015,19673174.0
OH,2003,11437680.0
OH,2004,11450143.0
OH,2005,11459776.0
OH,2006,11481213.0
OH,2007,11500468.0
OH,2008,11515391.0
OH,2009,11511858.0
OH,2010,11512431.0
OH,2011,11525536.0
OH,2012,11533561.0
OH,2013,11547703.0
OH,2014,11561845.0
OH,2015,11575977.0
OK,2003,3506469.0
OK,2004,3523546.0
OK,2005,3535926.0
OK,2006,3594090.0
OK,2007,3634349.0
OK,2008,3668976.0
OK,2009,3610073.0
OK,2010,3675339.0
OK,2011,3714520.0
OK,2012,3749005.0
OK,2013,3782585.0
OK,2014,3816165.0
OK,2015,3849733.0
OR,2003,3564330.0
OR,2004,3591363.0
OR,2005,3629959.0
OR,2006,3670883.0
OR,2007,3722417.0
OR,2008,3768748.0
OR,2009,3727407.0
OR,2010,3761925.0
OR,2011,3801991.0
OR,2012,3836628.0
OR,2013,3870828.0
OR,2014,3905028.0
OR,2015,3939233.0
PA,2003,12370761.0
PA,2004,12394471.0
PA,2005,12367276.0
PA,2006,12510809.0
PA,2007,12563937.0
PA,2008,12612285.0
PA,2009,12516596.0
PA,2010,12612705.0
PA,2011,12660739.0
PA,2012,12699589.0
PA,2013,12726247.0
PA,2014,12752905.0
PA,2015,12779559.0
RI,2003,1076084.0
RI,2004,1079916.0
RI,2005,1066721.0
RI,2006,1063096.0
RI,2007,1057315.0
RI,2008,1055003.0
RI,2009,1057381.0
RI,2010,1056389.0
RI,2011,1053959.0
RI,2012,1052471.0
RI,2013,1052867.0
RI,2014,1053263.0
RI,2015,1053661.0
SC,2003,4148744.0
SC,2004,4197892.0
SC,2005,4254989.0
SC,2006,4357847.0
SC,2007,4444110.0
SC,2008,4528996.0
SC,2009,4416867.0
SC,2010,4511428.0
SC,2011,4575864.0
SC,2012,4630351.0
SC,2013,4679429.0
SC,2014,4728507.0
SC,2015,4777576.0
SD,2003,764905.0
SD,2004,770621.0
SD,2005,780046.0
SD,2006,783033.0
SD,2007,791623.0
SD,2008,799124.0
SD,2009,796513.0
SD,2010,799462.0
SD,2011,807697.0
SD,2012,815871.0
SD,2013,811135.0
SD,2014,820082.0
SD,2015,829037.0
TN,2003,5845208.0
TN,2004,5893298.0
TN,2005,5989309.0
TN,2006,6088766.0
TN,2007,6175727.0
TN,2008,6247411.0
TN,2009,6158953.0
TN,2010,6234968.0
TN,2011,6297991.0
TN,2012,6353226.0
TN,2013,6402025.0
TN,2014,6450824.0
TN,2015,6499615.0
TX,2003,22103374.0
TX,2004,22471549.0
TX,2005,22843999.0
TX,2006,23359580.0
TX,2007,23831983.0
TX,2008,24309039.0
TX,2009,23819042.0
TX,2010,24311891.0
TX,2011,24774187.0
TX,2012,25208897.0
TX,2013,25652130.0
TX,2014,26095363.0
TX,2015,26538614.0
UT,2003,2352119.0
UT,2004,2420708.0
UT,2005,2505013.0
UT,2006,2525507.0
UT,2007,2597746.0
UT,2008,2663029.0
UT,2009,2651816.0
UT,2010,2657236.0
UT,2011,2715379.0
UT,2012,2766233.0
UT,2013,2811949.0
UT,2014,2857665.0
UT,2015,2903379.0
VA,2003,7365284.0
VA,2004,7481332.0
VA,2005,7557588.0
VA,2006,7673725.0
VA,2007,7751000.0
VA,2008,7833496.0
VA,2009,7721730.0
VA,2010,7841754.0
VA,2011,7926192.0
VA,2012,8014955.0
VA,2013,8091450.0
VA,2014,8174048.0
VA,2015,8256630.0
VT,2003,619343.0
VT,2004,621233.0
VT,2005,619736.0
VT,2006,622892.0
VT,2007,623481.0
VT,2008,624151.0
VT,2009,620414.0
VT,2010,624258.0
VT,2011,624958.0
VT,2012,625498.0
VT,2013,625866.0
VT,2014,626234.0
VT,2015,626604.0
WA,2003,6131298.0
WA,2004,6207046.0
WA,2005,6270838.0
WA,2006,6370753.0
WA,2007,6461587.0
WA,2008,6562231.0
WA,2009,6465755.0
WA,2010,6561297.0
WA,2011,6652845.0
WA,2012,6738714.0
WA,2013,6820968.0
WA,2014,6903222.0
WA,2015,6985464.0
WI,2003,5474290.0
WI,2004,5503533.0
WI,2005,5540473.0
WI,2006,5577655.0
WI,2007,5610775.0
WI,2008,5640996.0
WI,2009,5599420.0
WI,2010,5637947.0
WI,2011,5664893.0
WI,2012,5687219.0
WI,2013,5705520.0
WI,2014,5723821.0
WI,2015,5742117.0
WV,2003,1811440.0
WV,2004,1812548.0
WV,2005,1805626.0
WV,2006,1827912.0
WV,2007,1834052.0
WV,2008,1840310.0
WV,2009,1811403.0
WV,2010,1840802.0
WV,2011,1846372.0
WV,2012,1850481.0
WV,2013,1850791.0
WV,2014,1851101.0
WV,2015,1851420.0
WY,2003,502111.0
WY,2004,505887.0
WY,2005,506541.0
WY,2006,522667.0
WY,2007,534876.0
WY,2008,546043.0
WY,2009,523949.0
WY,2010,545579.0
WY,2011,554697.0
WY,2012,562803.0
WY,2013,568427.0
WY,2014,574051.0
WY,2015,579679.0
