State,Year,mme,population,Deaths,deaths_percap,mme_percap
AK,2003,0.0,648280.0,42.0,6.478682050965633e-05,0.0
AK,2004,0.0,657755.0,38.0,5.777227083032436e-05,0.0
AK,2005,0.0,669411.0,39.0,5.8260172001953954e-05,0.0
AK,2006,162514.55336854467,676248.0,37.0,5.4713655345376256e-05,0.24031798004362995
AK,2007,175312.7331193713,681255.0,47.0,6.899031933710578e-05,0.2573379030163027
AK,2008,193005.82279058325,688422.0,74.0,0.00010749220681500591,0.28035975432305077
AK,2009,210108.542888707,676473.0,99.0,0.00014634730432700195,0.31059412997814695
AK,2010,220748.3262921059,684484.0,43.0,6.282104475780296e-05,0.32250326712108085
AK,2011,235311.86998946845,693914.0,64.0,9.22304493063982e-05,0.3391081171290224
AK,2012,246522.61577752966,704218.0,86.0,0.00012212127494611044,0.3500657690907214
AK,2013,0.0,702641.0,66.0,9.393132481594441e-05,0.0
AK,2014,0.0,709670.0,77.0,0.00010850113433004073,0.0
AK,2015,0.0,725461.0,78.0,0.00010751784038011692,0.0
AL,2003,0.0,4503726.0,73.0,1.6208801334717076e-05,0.0
AL,2004,0.0,4525375.0,120.0,2.6517139463580367e-05,0.0
AL,2005,0.0,4539611.0,121.0,2.6654266191530508e-05,0.0
AL,2006,1423019.0378484018,4628981.0,175.0,3.7805296673285115e-05,0.3074151822719518
AL,2007,1636737.2580548527,4672840.0,287.0,6.14187517655216e-05,0.3502660604803188
AL,2008,1825978.2225508706,4718206.0,361.0,7.651213194167444e-05,0.38700688832807867
AL,2009,1971035.7393190223,4633360.0,409.0,8.827287324965036e-05,0.4254009486245451
AL,2010,2186342.0028284495,4712651.0,321.0,6.811452831962307e-05,0.46393038712785
AL,2011,2507324.8030823786,4747424.0,344.0,7.246034902296487e-05,0.5281442742595518
AL,2012,2729906.686633204,4777326.0,363.0,7.598392908501534e-05,0.5714298514761613
AL,2013,0.0,4795087.0,437.0,9.113494708229486e-05,0.0
AL,2014,0.0,4812848.0,517.0,0.00010742080364889977,0.0
AL,2015,0.0,4830620.0,534.0,0.00011054481619336648,0.0
AR,2003,0.0,2727774.0,18.0,6.598787142923131e-06,0.0
AR,2004,0.0,2750000.0,35.0,1.2727272727272727e-05,0.0
AR,2005,0.0,2772152.0,61.0,2.2004565406225923e-05,0.0
AR,2006,712327.9442313331,2812324.0,72.0,2.560160209136643e-05,0.25328800814960617
AR,2007,852131.185466532,2839172.0,81.0,2.8529444500016202e-05,0.30013369583333877
AR,2008,977034.1115361243,2864981.0,107.0,3.7347542618956285e-05,0.3410263843062569
AR,2009,1105621.7440530902,2829079.0,104.0,3.676108019606381e-05,0.3908062461504575
AR,2010,1250826.071616842,2863194.0,144.0,5.029348343144055e-05,0.43686389103108
AR,2011,1351987.5744662806,2886436.0,135.0,4.677048096683938e-05,0.46839340088132236
AR,2012,1461327.9573395727,2906919.0,123.0,4.231284050226374e-05,0.5027068030927496
AR,2013,0.0,2920952.0,113.0,3.868601743541147e-05,0.0
AR,2014,0.0,2934985.0,142.0,4.8381848629550065e-05,0.0
AR,2015,0.0,2949011.0,125.0,4.238709180806718e-05,0.0
AZ,2003,0.0,5579222.0,593.0,0.0001062872206913437,0.0
AZ,2004,0.0,5739879.0,659.0,0.00011481078259663662,0.0
AZ,2005,0.0,5952083.0,715.0,0.00012012601302770811,0.0
AZ,2006,1850167.5493524496,6029141.0,810.0,0.00013434749660026196,0.30687083771178175
AZ,2007,2160922.5957151526,6167681.0,868.0,0.00014073360798004956,0.3503622505306537
AZ,2008,2462000.496285023,6280362.0,745.0,0.00011862373538340625,0.39201569850352946
AZ,2009,2808118.299487087,6324865.0,922.0,0.00014577386236702285,0.44398074891512895
AZ,2010,3053090.80774406,6246816.0,1025.0,0.00016408359074446887,0.48874351473519634
AZ,2011,3453012.9163844255,6337373.0,987.0,0.00015574276596943244,0.5448650278884366
AZ,2012,3678447.737186849,6410979.0,1076.0,0.00016783708073291146,0.5737731689944467
AZ,2013,0.0,6487963.0,1171.0,0.00018048808231489605,0.0
AZ,2014,0.0,6564947.0,1134.0,0.00017273559101086422,0.0
AZ,2015,0.0,6641928.0,1178.0,0.0001773581405880943,0.0
CA,2003,0.0,35462712.0,2809.0,7.920996002787379e-05,0.0
CA,2004,0.0,35842038.0,2863.0,7.987827031487439e-05,0.0
CA,2005,0.0,35990312.0,2971.0,8.254999289808879e-05,0.0
CA,2006,7309936.189408678,36021202.0,3207.0,8.903089907993631e-05,0.20293426603056383
CA,2007,8338892.628918035,36250311.0,3614.0,9.969569640381844e-05,0.2300364437954211
CA,2008,9178293.015658947,36604337.0,3555.0,9.711963912910102e-05,0.25074332081629963
CA,2009,10142777.24826205,36308527.0,3782.0,0.00010416285959493757,0.2793497309395683
CA,2010,10518960.138192883,36637290.0,3773.0,0.00010298250771277023,0.2871107589615084
CA,2011,10984616.802580472,36969200.0,3948.0,0.00010679159949363254,0.29712887491697065
CA,2012,11394860.904691266,37325068.0,3780.0,0.00010127242099063289,0.305287076896719
CA,2013,0.0,37690535.0,4223.0,0.00011204404501023931,0.0
CA,2014,0.0,38056002.0,4292.0,0.00011278115867242176,0.0
CA,2015,0.0,38421464.0,4412.0,0.00011483164722718531,0.0
CO,2003,0.0,4547633.0,361.0,7.938195540405305e-05,0.0
CO,2004,0.0,4601821.0,370.0,8.040295352644095e-05,0.0
CO,2005,0.0,4673724.0,438.0,9.371541836873551e-05,0.0
CO,2006,1000046.5141116264,4720423.0,481.0,0.0001018976477319935,0.21185527528181827
CO,2007,1172815.2093376252,4803868.0,556.0,0.00011574006613004354,0.24413976598391654
CO,2008,1324707.7106138985,4889730.0,565.0,0.00011554830225799789,0.27091633088409756
CO,2009,1454813.9138320473,4843211.0,581.0,0.00011996173612919197,0.30038210473011545
CO,2010,1625511.3629268974,4887061.0,497.0,0.00010169711407326407,0.33261532093151636
CO,2011,1862045.070779909,4966061.0,674.0,0.00013572124869187067,0.3749541277845578
CO,2012,1991596.1160693709,5042853.0,612.0,0.0001213598730718504,0.3949343984584462
CO,2013,0.0,5121540.0,679.0,0.00013257731073075676,0.0
CO,2014,0.0,5200227.0,714.0,0.00013730169856046668,0.0
CO,2015,0.0,5278906.0,727.0,0.00013771792867688874,0.0
CT,2003,0.0,3486960.0,278.0,7.972560625874687e-05,0.0
CT,2004,0.0,3498966.0,279.0,7.973784255119941e-05,0.0
CT,2005,0.0,3486490.0,243.0,6.969760418070897e-05,0.0
CT,2006,1095729.9785610028,3517460.0,358.0,0.00010177798752508913,0.3115117097453852
CT,2007,1228143.4198508991,3527270.0,374.0,0.0001060310098177911,0.34818525937932143
CT,2008,1288713.7106747243,3545579.0,341.0,9.617611115138036e-05,0.3634705955429915
CT,2009,1374662.6979415733,3494487.0,366.0,0.0001047364033690782,0.39338040116949163
CT,2010,1480043.7659532267,3545837.0,316.0,8.911859174575707e-05,0.41740321564505833
CT,2011,1523665.955067764,3558172.0,359.0,0.00010089450425668011,0.4282159364605657
CT,2012,1626929.8670333335,3572213.0,399.0,0.00011169546720758252,0.455440329855284
CT,2013,0.0,3579216.0,543.0,0.0001517092011211394,0.0
CT,2014,0.0,3586219.0,591.0,0.00016479752073144446,0.0
CT,2015,0.0,3593222.0,777.0,0.00021624046607752039,0.0
DC,2003,0.0,557620.0,90.0,0.0001614002367203472,0.0
DC,2004,0.0,554239.0,80.0,0.00014434206181809653,0.0
DC,2005,0.0,582049.0,70.0,0.00012026478870335658,0.0
DC,2006,0.0,570681.0,85.0,0.00014894485710931327,0.0
DC,2007,0.0,574404.0,61.0,0.00010619703205409434,0.0
DC,2008,0.0,580236.0,48.0,8.272496018861291e-05,0.0
DC,2009,0.0,588433.0,24.0,4.078629172735044e-05,0.0
DC,2010,0.0,584400.0,71.0,0.00012149212867898699,0.0
DC,2011,0.0,593955.0,79.0,0.00013300670926248622,0.0
DC,2012,0.0,605759.0,71.0,0.0001172083287247899,0.0
DC,2013,0.0,619667.0,101.0,0.0001629907676219647,0.0
DC,2014,0.0,633575.0,80.0,0.0001262676084125794,0.0
DC,2015,0.0,647484.0,114.0,0.00017606612673054468,0.0
DE,2003,0.0,818166.0,64.0,7.822373454775681e-05,0.0
DE,2004,0.0,830069.0,50.0,6.023595628797124e-05,0.0
DE,2005,0.0,840558.0,37.0,4.4018378267769746e-05,0.0
DE,2006,356428.317041761,859268.0,52.0,6.0516625779151555e-05,0.41480459768286615
DE,2007,436611.1825631754,871749.0,60.0,6.882715093450064e-05,0.5008450626994414
DE,2008,562538.7744016778,883874.0,97.0,0.00010974414905291931,0.6364467949070544
DE,2009,661353.0739564532,863832.0,117.0,0.00013544300280610117,0.7656038141171585
DE,2010,780033.5328551088,881278.0,117.0,0.00013276173920147785,0.8851163116010031
DE,2011,856351.7311906787,890856.0,139.0,0.0001560297062600465,0.9612684105968626
DE,2012,673245.8229642934,900131.0,122.0,0.00013553582756287695,0.7479420472845546
DE,2013,0.0,908905.0,143.0,0.00015733217442967087,0.0
DE,2014,0.0,917679.0,168.0,0.00018307055081351976,0.0
DE,2015,0.0,926454.0,180.0,0.00019428919298745539,0.0
FL,2003,0.0,16999181.0,1789.0,0.00010524036422695894,0.0
FL,2004,0.0,17385430.0,2007.0,0.00011544149325038264,0.0
FL,2005,0.0,17736027.0,2106.0,0.00011874136186193222,0.0
FL,2006,7572174.878479714,18166990.0,2303.0,0.00012676838595716738,0.4168095473427196
FL,2007,9275844.650055727,18367842.0,2546.0,0.0001386118195049805,0.5050045971680139
FL,2008,12077135.678961618,18527305.0,2660.0,0.00014357187945035718,0.6518560405283779
FL,2009,15411604.460971907,18222420.0,2795.0,0.00015338248158038283,0.8457496019174131
FL,2010,19996283.029502302,18511620.0,2748.0,0.00014844729958804254,1.0802016803230783
FL,2011,15186234.552697113,18688787.0,2667.0,0.00014270589097088002,0.8125853514568449
FL,2012,9429125.523272729,18885152.0,2299.0,0.00012173584835324598,0.4992877750347325
FL,2013,0.0,19138690.0,2180.0,0.0001139053926888413,0.0
FL,2014,0.0,19392228.0,2448.0,0.00012623613955033944,0.0
FL,2015,0.0,19645772.0,3022.0,0.00015382444629816533,0.0
GA,2003,0.0,8676460.0,224.0,2.5816980658010293e-05,0.0
GA,2004,0.0,8918129.0,341.0,3.823671983215313e-05,0.0
GA,2005,0.0,9107719.0,371.0,4.073467791441524e-05,0.0
GA,2006,1978354.9758549097,9155813.0,412.0,4.4998734683637594e-05,0.21607638511783822
GA,2007,2306377.1346863285,9349988.0,459.0,4.9090972095365256e-05,0.24667166788730943
GA,2008,2587312.629057357,9504843.0,531.0,5.5866256812448135e-05,0.27220992803956434
GA,2009,2935052.1551456507,9497667.0,547.0,5.7593091019089214e-05,0.3090287493913664
GA,2010,3599946.6906321556,9468815.0,619.0,6.537248853209192e-05,0.3801897798860951
GA,2011,4014651.981683821,9600612.0,665.0,6.926641759921138e-05,0.4181662566598693
GA,2012,3830936.7092429935,9714569.0,688.0,7.082146413289154e-05,0.39434963190266015
GA,2013,0.0,9811946.0,641.0,6.532852912154224e-05,0.0
GA,2014,0.0,9909323.0,801.0,8.083296911403533e-05,0.0
GA,2015,0.0,10006693.0,886.0,8.854073968293021e-05,0.0
HI,2003,0.0,1248755.0,73.0,5.845822439149393e-05,0.0
HI,2004,0.0,1262124.0,80.0,6.338521413109964e-05,0.0
HI,2005,0.0,1267581.0,106.0,8.362384731232166e-05,0.0
HI,2006,248295.1274490517,1309622.0,58.0,4.428758832701344e-05,0.18959297220805066
HI,2007,263612.0113425901,1315570.0,103.0,7.829305928228828e-05,0.2003785517628025
HI,2008,304704.0132594176,1332114.0,94.0,7.056453126384078e-05,0.22873719010491414
HI,2009,350756.53070049,1280163.0,109.0,8.514540726454366e-05,0.2739936482311159
HI,2010,391623.11009348824,1333517.0,111.0,8.323853389195638e-05,0.2936768785800918
HI,2011,416974.7088690867,1346497.0,159.0,0.0001180841843687732,0.30967370062397964
HI,2012,424229.23300467164,1362664.0,120.0,8.806279464343375e-05,0.31132343189859835
HI,2013,0.0,1377180.0,129.0,9.366967280965451e-05,0.0
HI,2014,0.0,1391696.0,127.0,9.125556155942103e-05,0.0
HI,2015,0.0,1406214.0,147.0,0.00010453600945517539,0.0
IA,2003,0.0,2941976.0,13.0,4.418798793735911e-06,0.0
IA,2004,0.0,2952904.0,25.0,8.466242045118974e-06,0.0
IA,2005,0.0,2955587.0,37.0,1.2518663805193351e-05,0.0
IA,2006,445457.0764620181,2982644.0,43.0,1.4416738973876869e-05,0.14934973012602848
IA,2007,488186.6822014219,2999212.0,68.0,2.267262200871429e-05,0.16277164875354655
IA,2008,531990.318265075,3016734.0,66.0,2.1877964712831823e-05,0.17634644561471943
IA,2009,558837.0153968526,2978880.0,71.0,2.383446127403588e-05,0.1875997070700574
IA,2010,607070.5599743178,3016267.0,78.0,2.58597796547852e-05,0.20126552456208877
IA,2011,666356.0850226065,3032266.0,86.0,2.8361627904675908e-05,0.21975515506311338
IA,2012,689322.8744608761,3047646.0,95.0,3.1171599326168456e-05,0.22618206788481213
IA,2013,0.0,3062940.0,116.0,3.7872109802999734e-05,0.0
IA,2014,0.0,3078234.0,89.0,2.8912681751939587e-05,0.0
IA,2015,0.0,3093526.0,118.0,3.814417593386964e-05,0.0
ID,2003,0.0,1367034.0,17.0,1.243568192159083e-05,0.0
ID,2004,0.0,1395140.0,21.0,1.505225282050547e-05,0.0
ID,2005,0.0,1425894.0,20.0,1.4026288069099105e-05,0.0
ID,2006,315983.1665572885,1468669.0,44.0,2.9959099020950262e-05,0.2151493403600733
ID,2007,350292.768143575,1505105.0,32.0,2.1260975147913268e-05,0.23273643243732164
ID,2008,389765.93426298635,1534320.0,63.0,4.106053496011262e-05,0.2540317106359732
ID,2009,433527.17126884894,1492573.0,78.0,5.225875049327571e-05,0.2904562599409536
ID,2010,492768.404534451,1526797.0,75.0,4.9122443913630954e-05,0.32274651085537304
ID,2011,549932.6904295278,1549987.0,78.0,5.032300270905498e-05,0.35479825987542335
ID,2012,596689.0786027595,1567803.0,68.0,4.3372796199522515e-05,0.3805893205987994
ID,2013,0.0,1584053.0,111.0,7.007341294767283e-05,0.0
ID,2014,0.0,1600303.0,136.0,8.498390617276853e-05,0.0
ID,2015,0.0,1616547.0,101.0,6.247885152736049e-05,0.0
IL,2003,0.0,12649087.0,615.0,4.8620109894097496e-05,0.0
IL,2004,0.0,12712016.0,767.0,6.033661379910157e-05,0.0
IL,2005,0.0,12719550.0,827.0,6.501802343636371e-05,0.0
IL,2006,1425338.5014911862,12643955.0,1070.0,8.462541981523978e-05,0.11272884959580971
IL,2007,1497638.4275625239,12695866.0,909.0,7.159810917979128e-05,0.11796268388170794
IL,2008,1598711.2088368516,12747038.0,1016.0,7.970479102674676e-05,0.12541825079966434
IL,2009,1750655.1724350927,12785043.0,1028.0,8.040645620042107e-05,0.1369299401210534
IL,2010,1975649.8696666127,12745359.0,988.0,7.751841278068355e-05,0.15500935435923088
IL,2011,2174087.1635165485,12790182.0,1095.0,8.561254249548599e-05,0.16998094034287772
IL,2012,2291091.9999151863,12823860.0,1294.0,0.00010090565555144863,0.17865853182389596
IL,2013,0.0,12840496.0,1212.0,9.43888771897908e-05,0.0
IL,2014,0.0,12857132.0,1314.0,0.0001022000863022951,0.0
IL,2015,0.0,12873761.0,1478.0,0.0001148071647438538,0.0
IN,2003,0.0,6199571.0,138.0,2.225960473716649e-05,0.0
IN,2004,0.0,6226537.0,233.0,3.742047947358219e-05,0.0
IN,2005,0.0,6257121.0,264.0,4.2191928204680716e-05,0.0
IN,2006,1564522.263241311,6332669.0,373.0,5.890091523810892e-05,0.24705574588555174
IN,2007,1877182.6097010025,6379599.0,423.0,6.630510789157752e-05,0.29424774342415605
IN,2008,2098286.3174855127,6424806.0,453.0,7.050796553234447e-05,0.326591389294169
IN,2009,2342305.7772988332,6342469.0,525.0,8.27753355988023e-05,0.36930504150652266
IN,2010,2567397.0919459946,6417398.0,564.0,8.788608716492261e-05,0.40006823512364276
IN,2011,2775856.644925946,6454254.0,588.0,9.110270528553726e-05,0.43008171741086515
IN,2012,3029357.556785709,6485530.0,668.0,0.00010299852132362352,0.4670948336968157
IN,2013,0.0,6513237.0,694.0,0.0001065522412281328,0.0
IN,2014,0.0,6540944.0,841.0,0.00012857471337470556,0.0
IN,2015,0.0,6568645.0,882.0,0.00013427426813292543,0.0
KS,2003,0.0,2724786.0,74.0,2.715809608534395e-05,0.0
KS,2004,0.0,2733697.0,104.0,3.8043718817411e-05,0.0
KS,2005,0.0,2741665.0,126.0,4.5957474746185256e-05,0.0
KS,2006,761390.6634869698,2762931.0,96.0,3.474571026203694e-05,0.2755735353097742
KS,2007,913181.3928741025,2783785.0,102.0,3.66407606909298e-05,0.32803589101676406
KS,2008,961942.2548701522,2808076.0,102.0,3.632380320190764e-05,0.3425627564461048
KS,2009,925779.2621520981,2777835.0,140.0,5.03989617813873e-05,0.3332736689371752
KS,2010,999266.5857121692,2809329.0,109.0,3.8799300473529446e-05,0.3556958212128836
KS,2011,1097219.6392261724,2830985.0,112.0,3.956220184847324e-05,0.3875752217783465
KS,2012,1137784.2693912932,2851183.0,158.0,5.5415594158635206e-05,0.39905690704219726
KS,2013,0.0,2865120.0,151.0,5.270285363265762e-05,0.0
KS,2014,0.0,2879057.0,175.0,6.078379135946249e-05,0.0
KS,2015,0.0,2892987.0,161.0,5.565182283916243e-05,0.0
KY,2003,0.0,4118189.0,276.0,6.701975067195799e-05,0.0
KY,2004,0.0,4141835.0,185.0,4.466619264166728e-05,0.0
KY,2005,0.0,4171016.0,275.0,6.593117839874025e-05,0.0
KY,2006,1522884.0234027156,4219239.0,331.0,7.84501660133498e-05,0.3609380799245351
KY,2007,1711929.6717800542,4256672.0,288.0,6.765849001285512e-05,0.40217561319736506
KY,2008,1902939.59516318,4289878.0,401.0,9.34758517608193e-05,0.44358827807298484
KY,2009,2124188.3834809572,4252000.0,385.0,9.054562558795861e-05,0.49957393778950077
KY,2010,2470442.4163117763,4285828.0,616.0,0.00014372951971007702,0.576421269428399
KY,2011,2755176.2563814684,4316040.0,605.0,0.00014017478985366215,0.6383574425587966
KY,2012,2627707.444423752,4340167.0,704.0,0.0001622057400095434,0.6054392479422456
KY,2013,0.0,4359232.0,611.0,0.0001401623038186543,0.0
KY,2014,0.0,4378297.0,654.0,0.00014937314668237445,0.0
KY,2015,0.0,4397353.0,830.0,0.00018874991386863871,0.0
LA,2003,0.0,4493665.0,354.0,7.877756797625101e-05,0.0
LA,2004,0.0,4506685.0,335.0,7.433401713232675e-05,0.0
LA,2005,0.0,4495670.0,466.0,0.00010365529498384,0.0
LA,2006,1525601.7653543232,4302665.0,509.0,0.00011829877529391668,0.3545713564393982
LA,2007,1621515.0985522917,4375581.0,562.0,0.00012844008601372025,0.37058280912918573
LA,2008,1763487.1692777176,4435586.0,428.0,9.649232367493269e-05,0.3975770437722812
LA,2009,1807101.2250979252,4411546.0,382.0,8.659095926915416e-05,0.40962991774265195
LA,2010,1848681.0549036379,4429940.0,379.0,8.555420615177633e-05,0.41731514533010333
LA,2011,1994458.4449533832,4484596.0,372.0,8.295061584142696e-05,0.44473536634144595
LA,2012,2027672.7643479838,4529605.0,377.0,8.32302154382115e-05,0.4476489151588237
LA,2013,0.0,4561484.0,624.0,0.0001367975860487508,0.0
LA,2014,0.0,4593363.0,554.0,0.0001206088001318424,0.0
LA,2015,0.0,4625253.0,649.0,0.0001403166486244104,0.0
MA,2003,0.0,6420357.0,725.0,0.0001129220695983105,0.0
MA,2004,0.0,6407382.0,558.0,8.708705053015413e-05,0.0
MA,2005,0.0,6429137.0,690.0,0.0001073238912158817,0.0
MA,2006,1660689.6878779016,6410084.0,870.0,0.00013572365042330178,0.2590745593783017
MA,2007,1825427.0112873644,6431559.0,848.0,0.00013184983609728217,0.28382341066720596
MA,2008,1876878.7370215943,6468967.0,717.0,0.00011083686158856584,0.29013577237626875
MA,2009,2020513.2261402444,6511176.0,726.0,0.00011150059528416986,0.31031463842172974
MA,2010,2097147.131918018,6477096.0,656.0,0.00010127995632610663,0.32377891757633637
MA,2011,2205117.1651589577,6512227.0,747.0,0.00011470730366125136,0.3386118397222575
MA,2012,2261496.711988997,6560595.0,805.0,0.0001227022853872248,0.3447090869027881
MA,2013,0.0,6608925.0,1029.0,0.00015569854401434425,0.0
MA,2014,0.0,6657255.0,1220.0,0.00018325871549159525,0.0
MA,2015,0.0,6705586.0,1648.0,0.0002457652470641641,0.0
MD,2003,0.0,5512310.0,636.0,0.00011537812641161328,0.0
MD,2004,0.0,5561332.0,538.0,9.673941422666368e-05,0.0
MD,2005,0.0,5573163.0,521.0,9.34837183122044e-05,0.0
MD,2006,1512334.6216871259,5627367.0,645.0,0.00011461843522912225,0.2687463998148914
MD,2007,1711849.713727714,5653408.0,623.0,0.00011019901623940815,0.3027996057825145
MD,2008,1898011.591606519,5684965.0,570.0,0.00010026446952619761,0.3338651322578976
MD,2009,2279799.255325958,5637418.0,632.0,0.00011210806081791345,0.4044048632416397
MD,2010,2647307.392364297,5696423.0,494.0,8.672108795291361e-05,0.46473153281704976
MD,2011,2721987.821079497,5736545.0,557.0,9.709677166308291e-05,0.47449951514012306
MD,2012,2526543.286132619,5785496.0,682.0,0.00011788099067046282,0.4367029700016418
MD,2013,0.0,5833842.0,699.0,0.0001198181232882207,0.0
MD,2014,0.0,5882188.0,904.0,0.000153684309308033,0.0
MD,2015,0.0,5930538.0,1145.0,0.00019306848720976072,0.0
ME,2003,0.0,1309205.0,57.0,4.353787222016414e-05,0.0
ME,2004,0.0,1314985.0,77.0,5.8555801016741635e-05,0.0
ME,2005,0.0,1312222.0,71.0,5.410669840926307e-05,0.0
ME,2006,474779.2306040425,1323619.0,87.0,6.57288842181927e-05,0.3586978054893761
ME,2007,537210.5874244332,1327040.0,90.0,6.78201109235592e-05,0.40481868476039395
ME,2008,574320.8925518942,1330509.0,96.0,7.21528377485609e-05,0.43165502266568223
ME,2009,613194.1654434934,1316380.0,80.0,6.0772725200929825e-05,0.46581850639138656
ME,2010,668618.1947447029,1327665.0,75.0,5.6490153766198555e-05,0.503604595093418
ME,2011,689900.4726731436,1328543.0,92.0,6.924879360321796e-05,0.5192910373794025
ME,2012,670862.8323844264,1329084.0,52.0,3.912469038826741e-05,0.5047557809622465
ME,2013,0.0,1329088.0,105.0,7.900154090624549e-05,0.0
ME,2014,0.0,1329092.0,136.0,0.00010232549740725247,0.0
ME,2015,0.0,1329100.0,181.0,0.00013618237905349486,0.0
MI,2003,0.0,10082364.0,482.0,4.780624861391634e-05,0.0
MI,2004,0.0,10104206.0,547.0,5.4135871734998276e-05,0.0
MI,2005,0.0,10107940.0,655.0,6.480054293951093e-05,0.0
MI,2006,2278904.3315912304,10036081.0,823.0,8.20041209312679e-05,0.2270711377868742
MI,2007,2686328.333709436,10001284.0,922.0,9.218816303986569e-05,0.2685983453434015
MI,2008,3058292.0545995757,9946889.0,922.0,9.269229806424904e-05,0.30746216777924995
MI,2009,3346742.794976415,10039208.0,1088.0,0.0001083750829746729,0.33336721332762653
MI,2010,3645598.037555947,9952687.0,1039.0,0.00010439391894872209,0.366292845093586
MI,2011,3702628.626502827,9920621.0,1033.0,0.0001041265461103695,0.37322548926149146
MI,2012,3961853.789385228,9897264.0,986.0,9.962349190645011e-05,0.40029787923058613
MI,2013,0.0,9898370.0,1254.0,0.00012668752531982537,0.0
MI,2014,0.0,9899476.0,1417.0,0.00014313888937151826,0.0
MI,2015,0.0,9900571.0,1579.0,0.00015948575087234868,0.0
MN,2003,0.0,5064172.0,114.0,2.2511083746760576e-05,0.0
MN,2004,0.0,5096546.0,110.0,2.158324480932773e-05,0.0
MN,2005,0.0,5113824.0,132.0,2.5812386190842705e-05,0.0
MN,2006,760493.3128661453,5163555.0,149.0,2.88560884894225e-05,0.14728095524617155
MN,2007,832201.8495084606,5207203.0,161.0,3.091871010214121e-05,0.15981743932557663
MN,2008,912756.814428999,5247018.0,193.0,3.678279739082275e-05,0.1739572485608014
MN,2009,1005695.9557049223,5188581.0,230.0,4.432811205992544e-05,0.19382870879435482
MN,2010,1099192.525637575,5241914.0,229.0,4.3686332892908966e-05,0.20969297200174877
MN,2011,1169394.5988733817,5278190.0,302.0,5.7216583715250874e-05,0.22155219855165914
MN,2012,1216106.6799433383,5313081.0,281.0,5.2888333530017704e-05,0.22888916618123048
MN,2013,0.0,5348446.0,324.0,6.057834369085899e-05,0.0
MN,2014,0.0,5383811.0,312.0,5.7951514271210484e-05,0.0
MN,2015,0.0,5419171.0,371.0,6.846065569807633e-05,0.0
MO,2003,0.0,5719204.0,275.0,4.8083614433057466e-05,0.0
MO,2004,0.0,5759532.0,292.0,5.069856370274529e-05,0.0
MO,2005,0.0,5787885.0,332.0,5.7361194978822145e-05,0.0
MO,2006,1413255.8637241963,5842704.0,433.0,7.410952189260315e-05,0.2418838715300649
MO,2007,1599297.403531725,5887612.0,406.0,6.895834847812662e-05,0.27163770362784184
MO,2008,1771109.5862624827,5923916.0,459.0,7.748253013715927e-05,0.29897614791676363
MO,2009,1917564.735307061,5904382.0,546.0,9.247369157347882e-05,0.3247697617307046
MO,2010,2124869.1689703176,5922314.0,647.0,0.00010924783792281193,0.3587903594727192
MO,2011,2309354.0777419535,5955802.0,620.0,0.00010410016988476111,0.3877486319629084
MO,2012,2474203.6648461735,5982413.0,574.0,9.594790597038352e-05,0.41357954805964975
MO,2013,0.0,6003420.0,622.0,0.00010360761032877927,0.0
MO,2014,0.0,6024427.0,730.0,0.00012117334976421824,0.0
MO,2015,0.0,6045448.0,718.0,0.00011876704588311734,0.0
MS,2003,0.0,2882594.0,63.0,2.1855315039162645e-05,0.0
MS,2004,0.0,2900768.0,88.0,3.033679356639345e-05,0.0
MS,2005,0.0,2900456.0,90.0,3.102960362094788e-05,0.0
